url,start_time,end_time
https://www.youtube.com/watch?v=P9hOVSiNPPw,11,17
https://www.youtube.com/watch?v=P9hOVSiNPPw,32,40
https://www.youtube.com/watch?v=P9hOVSiNPPw,58,69
https://www.youtube.com/watch?v=P9hOVSiNPPw,86,94
https://www.youtube.com/watch?v=P9hOVSiNPPw,104,106
https://www.youtube.com/watch?v=P9hOVSiNPPw,120,130
https://www.youtube.com/watch?v=nDtGF8z8lnk,9,12
https://www.youtube.com/watch?v=nDtGF8z8lnk,123,126
https://www.youtube.com/watch?v=JG_uXPyjYhE,0,5
https://www.youtube.com/watch?v=JG_uXPyjYhE,53,59
https://www.youtube.com/watch?v=JG_uXPyjYhE,96,100
https://www.youtube.com/watch?v=qYEqEgpKC6I,0,9
https://www.youtube.com/watch?v=qYEqEgpKC6I,25,30
https://www.youtube.com/watch?v=qYEqEgpKC6I,40,44
https://www.youtube.com/watch?v=Yd6IyTwAi2Y,23,25
https://www.youtube.com/watch?v=Yd6IyTwAi2Y,31,34
https://www.youtube.com/watch?v=Yd6IyTwAi2Y,39,43
https://www.youtube.com/watch?v=Yd6IyTwAi2Y,45,48
https://www.youtube.com/watch?v=Yd6IyTwAi2Y,54,58
https://www.youtube.com/watch?v=Yd6IyTwAi2Y,76,82
https://www.youtube.com/watch?v=Yd6IyTwAi2Y,133,136
https://www.youtube.com/watch?v=Yd6IyTwAi2Y,,
https://www.youtube.com/watch?v=Yd6IyTwAi2Y,,
https://www.youtube.com/watch?v=Iryj3s6hiN4,13,20
https://www.youtube.com/watch?v=Iryj3s6hiN5,52,60
https://www.youtube.com/watch?v=Iryj3s6hiN6,114,120
https://www.youtube.com/watch?v=Iryj3s6hiN7,146,155
https://www.youtube.com/watch?v=Iryj3s6hiN8,314,325
https://www.youtube.com/watch?v=Iryj3s6hiN9,332,341
https://www.youtube.com/watch?v=cNjdbhPR9Hc,110,120
https://www.youtube.com/watch?v=cNjdbhPR9Hc,150,158
https://www.youtube.com/watch?v=cNjdbhPR9Hc,190,200
https://www.youtube.com/watch?v=cNjdbhPR9Hc,230,235
https://www.youtube.com/watch?v=cNjdbhPR9Hc,235,245
https://www.youtube.com/watch?v=cNjdbhPR9Hc,270,275
https://www.youtube.com/watch?v=cNjdbhPR9Hc,300,306
https://www.youtube.com/watch?v=cNjdbhPR9Hc,306,315
https://www.youtube.com/watch?v=cNjdbhPR9Hc,315,327
https://www.youtube.com/watch?v=cNjdbhPR9Hc,345,352
https://www.youtube.com/watch?v=cNjdbhPR9Hc,400,409
https://www.youtube.com/watch?v=cNjdbhPR9Hc,409,415
https://www.youtube.com/watch?v=cNjdbhPR9Hc,420,432
https://www.youtube.com/watch?v=cNjdbhPR9Hc,433,439
https://www.youtube.com/watch?v=cNjdbhPR9Hc,497,506
https://www.youtube.com/watch?v=cNjdbhPR9Hc,510,516
https://www.youtube.com/watch?v=cNjdbhPR9Hc,529,538
https://www.youtube.com/watch?v=cNjdbhPR9Hc,539,548
https://www.youtube.com/watch?v=cNjdbhPR9Hc,634,640
https://www.youtube.com/watch?v=cNjdbhPR9Hc,640,650
https://www.youtube.com/watch?v=cNjdbhPR9Hc,675,685
https://www.youtube.com/watch?v=QqeqX47LrDI,0,8
https://www.youtube.com/watch?v=QqeqX47LrDI,20,27
https://www.youtube.com/watch?v=QqeqX47LrDI,30,34
https://www.youtube.com/watch?v=VhNZ4R1XZTQ,13,22
https://www.youtube.com/watch?v=VhNZ4R1XZTQ,23,26
https://www.youtube.com/watch?v=VhNZ4R1XZTQ,59,66
https://www.youtube.com/watch?v=4RQ1paU_WNM,205,209
https://www.youtube.com/watch?v=4RQ1paU_WNM,220,225
https://www.youtube.com/watch?v=4RQ1paU_WNM,245,247
https://www.youtube.com/watch?v=4RQ1paU_WNM,343,348
https://www.youtube.com/watch?v=4RQ1paU_WNM,361,366
https://www.youtube.com/watch?v=4RQ1paU_WNM,413,416
https://www.youtube.com/watch?v=4RQ1paU_WNM,437,444
https://www.youtube.com/watch?v=4RQ1paU_WNM,501,506
https://www.youtube.com/watch?v=4RQ1paU_WNM,526,535
https://www.youtube.com/watch?v=4RQ1paU_WNM,598,603
https://www.youtube.com/watch?v=KytR8mEwK6A,9,22
https://www.youtube.com/watch?v=KytR8mEwK6A,23,29
